input,output
can we make this quick roxanne korrine and andrew barrett are having an incredibly horrendous public break up on the quad again,well i thought wed start with pronunciation if thats okay with you
well i thought wed start with pronunciation if thats okay with you,not the hacking and gagging and spitting part please
not the hacking and gagging and spitting part please,okay then how bout we try out some french cuisine saturday night
youre asking me out thats so cute whats your name again,forget it
no no its my fault we didnt have a proper introduction,cameron
cameron,the thing is cameron im at the mercy of a particularly hideous breed of loser my sister i cant date until she does
the thing is cameron im at the mercy of a particularly hideous breed of loser my sister i cant date until she does,seems like she could get a date easy enough
why,unsolved mystery she used to be really popular when she started high school then it was just like she got sick of it or something
unsolved mystery she used to be really popular when she started high school then it was just like she got sick of it or something,thats a shame
gosh if only we could find kat a boyfriend,let me see what i can do
cesc ma tete this is my head,right see youre ready for the quiz
right see youre ready for the quiz,i dont want to know how to say that though i want to know useful things like where the good stores are how much does champagne cost stuff like chat i have never in my life had to point out my head to someone
i dont want to know how to say that though i want to know useful things like where the good stores are how much does champagne cost stuff like chat i have never in my life had to point out my head to someone,thats because its such a nice one
thats because its such a nice one,forget french
how is our little find the wench a date plan progressing,well theres someone i think might be
there,where
you got something on your mind,i counted on you to help my cause you and that thug are obviously failing arent we ever going on our date
you have my word as a gentleman,youre sweet
how do you get your hair to look like that,ebers deep conditioner every two days and i never ever use a blowdryer without the diffuser attachment
sure have,i really really really wanna go but i cant not unless my sister goes
i really really really wanna go but i cant not unless my sister goes,im workin on it but she doesnt seem to be goin for him
shes not a,lesbian no i found a picture of jared leto in one of her drawers so im pretty sure shes not harboring samesex tendencies
lesbian no i found a picture of jared leto in one of her drawers so im pretty sure shes not harboring samesex tendencies,so thats the kind of guy she likes pretty ones
so thats the kind of guy she likes pretty ones,who knows all ive ever heard her say is that shed dip before dating a guy that smokes
hi,looks like things worked out tonight huh
you know chastity,i believe we share an art instructor
have fun tonight,tons
i was,you never wanted to go out with me did you
well no,then thats all you had to say
then thats all you had to say,but
but,you always been this selfish
do you listen to this crap,what crap
what crap,me this endless blonde babble im like boring myself
me this endless blonde babble im like boring myself,thank god if i had to hear one more story about your coiffure
i figured youd get to the good stuff eventually,what good stuff
no,okay youre gonna need to learn how to lie
wow,lets go
she okay,i hope so
they do to,they do not
did you change your hair,no
no,you might wanna think about it
where did he go he was just here,who
who,joey
great,would you mind getting me a drink cameron
he practically proposed when he found out we had the same dermatologist i mean dr bonchowski is great an all but hes not exactly relevant party conversation,is he oily or dry
is he oily or dry,combination i dont know i thought hed be different more of a gentleman
bianca i dont think the highlights of dating joey dorsey are going to include dooropening and coatholding,sometimes i wonder if the guys were supposed to want to go out with are the ones we actually want to go out with you know
sometimes i wonder if the guys were supposed to want to go out with are the ones we actually want to go out with you know,all i know is id give up my private line to go out with a guy like joey
i have to be home in twenty minutes,i dont have to be home til two
you think you re the only sophomore at the prom,i did
its more,expensive
exactly so you going to bogey lowenbraus thing on saturday,hopefully
queen harry,its a gay cruise line but ill be like wearing a uniform and stuff
neat,my agent says ive got a good shot at being the prada guy next year
hey sweet cheeks,hi joey
hi joey,youre concentrating awfully hard considering its gym class
listen i want to talk to you about the prom,you know the deal i can t go if kat doesnt go
whereve you been,nowhere hi daddy
i have the potential to smack the crap out of you if you dont get out of my way,can you at least start wearing a bra
oh my god does this mean youre becoming normal,it means that gigglepuss is playing at club skunk and were going
it means that gigglepuss is playing at club skunk and were going,oh i thought you might have a date i dont know why im bothering to ask but are you going to bogey lowensteins party saturday night
oh i thought you might have a date i dont know why im bothering to ask but are you going to bogey lowensteins party saturday night,what do you think
what do you think,i think youre a freak i think you do this to torture me and i think you suck
youre ruining my life because you wont be normal i cant be normal,whats normal
whats normal,bogey lowensteins party is normal but youre too busy listening to bitches who need prozac to know that
cant you forget for just one night that youre completely wretched,at least im not a clouted fen sucked hedgepig
like im supposed to know what that even means,its shakespeare maybe youve heard of him
its shakespeare maybe youve heard of him,yeah hes your freak friend mandellas boyfriend i guess since im not allowed to go out i should obsess over a dead guy too
you are so completely unbalanced,can we go now
bianca i need to talk to you i need to tell you,i really dont think i need any social advice from you right now
i dont get you you act like youre too good for any of this and then you go totally apeshit when you get here,youre welcome
listen i know you hate having to sit home because im not susie high school,like you care
like you care,i do care but im a firm believer in doing something for your own reasons not someone else s
i do care but im a firm believer in doing something for your own reasons not someone else s,i wish i had that luxury im the only sophomore that got asked to the prom and i cant go because you won t
joey never told you we went out did he,what
what,in th for a month
in th for a month,why
why,he was like a total babe
he was like a total babe,but you hate joey
but you hate joey,now i do back then was a different story
now i do back then was a different story,as in
he said everyone was doing it so i did it,you did what
you did what,just once afterwards i told him i didnt want to anymore i wasnt ready he got pissed then he broke up with me
why didnt you tell me,i wanted to let you make up your own mind about him
i wanted to let you make up your own mind about him,no you didnt if you really thought i could make my own decisions you wouldve let me go out with him instead of helping daddy hold me hostage
thats not,im not stupid enough to repeat your mistakes
im not stupid enough to repeat your mistakes,i guess i thought i was protecting you
i guess i thought i was protecting you,god youre just like him just keep me locked away in the dark so i cant experience anything for myself
god youre just like him just keep me locked away in the dark so i cant experience anything for myself,not all experiences are good bianca you cant always trust the people you want to
not all experiences are good bianca you cant always trust the people you want to,i guess ill never know will i
you looked beautiful last night you know,so did you
let go,you set me up
you set me up,i just wanted
i just wanted,what to completely damage me to send me to therapy forever what
what to completely damage me to send me to therapy forever what,no i just wanted
is that woman a complete fruitloop or is it just me,its just you
patrick is that a,perm
now dont get upset daddy but theres this boy and i think he might ask,no youre not dating until your sister starts dating end of discussion
no youre not dating until your sister starts dating end of discussion,what if she never starts dating
what if she never starts dating,then neither will you and ill get to sleep at night
then neither will you and ill get to sleep at night,but its not fair shes a mutant daddy
but she doesnt want to date,exactly my point
daddy i,and wherere you going
and wherere you going,if you must know we were attempting to go to a small study group of friends
if you must know we were attempting to go to a small study group of friends,otherwise known as an orgy
daddy people expect me to be there,if kats not going youre not going
oh god its starting,its just a party daddy
wear the belly before you go,daddy no
daddy no,just for a minute
promise me you wont talk to any boys unless your sister is present,why
why,because shell scare them away
daddy i want to discuss the prom with you its tomorrow night,the prom kat has a date
the prom kat has a date,no but
no but,its that hot rod joey right that s who you want me to bend my rules for
youre not going unless your sister goes end of story,fine i see that im a prisoner in my own house im not a daughter im a possession
im missing something,i have a date daddy and he s not a captain of oppression like some men we know
always a pleasure brucie,didnt have you pegged for a gigglepuss fan arent they a little too preteen bellybutton ring for you
didnt have you pegged for a gigglepuss fan arent they a little too preteen bellybutton ring for you,fan of a fan you see a couple of minors come in
fan of a fan you see a couple of minors come in,never
never,padua girls one tall decent body the other one kinda short and undersexed
padua girls one tall decent body the other one kinda short and undersexed,just sent em through
you the new guy,so they tell me
so they tell me,cmon im supposed to give you the tour
so which dakota you from,north actually howd you
north actually howd you,i was kidding people actually live there
i was kidding people actually live there,yeah a couple were outnumbered by the cows though
yeah a couple were outnumbered by the cows though,how many people were in your old school
how many people were in your old school,thirtytwo
thirtytwo,get out
get out,how many people go here
how many people go here,couple thousand most of them evil
that im used to,yeah but these guys have never seen a horse they just jack off to clint eastwood
that girl i,you burn you pine you perish
you burn you pine you perish,who is she
who is she,bianca stratford sophomore dont even think about it
bianca stratford sophomore dont even think about it,why not
why not,i could start with your haircut but it doesnt matter shes not allowed to date until her older sister does and thats an impossibility
why do girls like that always like guys like that,because theyre bred to their mothers liked guys like that and their grandmothers before them their gene pool is rarely diluted
because theyre bred to their mothers liked guys like that and their grandmothers before them their gene pool is rarely diluted,he always have that shiteating grin
he always have that shiteating grin,joey dorsey permashitgrin i wish i could say hes a moron but hes number twelve in the class and a model mostly regional stuff but hes rumored to have a big tube sock ad coming out
you know french,sure do my moms from canada
sure do my moms from canada,guess who just signed up for a tutor
guess who just signed up for a tutor,you mean id get a chance to talk to her
you mean id get a chance to talk to her,you could consecrate with her my friend
yeah just a minor encounter with the shrew,thats her biancas sister
thats her biancas sister,the mewling rampalian wretch herself
i teach her french get to know her dazzle her with charm and she falls in love with me,unlikely but even so she still cant go out with you so whats the point
what about him,you wanna go out with him
what makes you think hell do it,he seems like he thrives on danger
he seems like he thrives on danger,no kidding hes a criminal i heard he lit a state trooper on fire he just got out of alcatraz
